acclamation	acclimation
bust	bussed
but	butt
butt	but
buy	by
buy	bye
by	buy
by	bye
bye	buy
bye	by
c's	seas
c's	sees
c's	seize
seas	c's
seas	sees
seas	seize
sees	c's
sees	seas
sees	seize
seize	c's
seize	seas
seize	sees
c	sea
c	see
sea	c
sea	see
see	c
see	sea
cache	cash
cash	cache
Cain	cane
cane	Cain
calendar	calender
calender	calendar
calk	caulk
caulk	calk
call	caul
caul	call
can't	cant
cant	can't
canape	canopy
canopy	canape
cannon	canon
canon	cannon
canter	cantor
cantor	canter
capital	capitol
capitol	capital
carat	caret
carat	carrot
carat	karat
caret	carat
caret	carrot
caret	karat
carrot	carat
carrot	caret
carrot	karat
karat	carat
karat	caret
karat	carrot
cask	casque
casque	cask
cast	caste
caste	cast
caster	castor
castor	caster
caught	cot
cot	caught
cause	caws
caws	cause
cawed	cod
cod	cawed
cay	key
cay	quay
key	cay
key	quay
quay	cay
quay	key
cedar	seeder
seeder	cedar
cede	seed
seed	cede
ceil	seal
seal	ceil
ceiling	sealing
sealing	ceiling
cell	sell
sell	cell
cellar	seller
seller	cellar
censer	censor
censer	sensor
censor	censer
censor	sensor
sensor	censer
sensor	censor
cent	scent
cent	sent
scent	cent
scent	sent
sent	cent
sent	scent
cents	scents
cents	sense
scents	cents
scents	sense
sense	cents
sense	scents
cereal	serial
serial	cereal
cession	session
session	cession
chalk	chock
chock	chalk
champagne	champaign
champaign	champagne
chance	chants
chants	chance
chanty	shanty
shanty	chanty
chased	chaste
chaste	chased
cheap	cheep
cheep	cheap
check	cheque
check	Czech
cheque	check
cheque	Czech
Czech	check
Czech	cheque
chews	choose
choose	chews
chic	sheikh
sheikh	chic
Chile	chili
Chile	chilly
chili	Chile
chili	chilly
chilly	Chile
chilly	chili
choir	quire
quire	choir
choler	collar
collar	choler
choral	coral
coral	choral
chord	cord
cord	chord
chute	shoot
shoot	chute
cite	sight
cite	site
sight	cite
sight	site
site	cite
site	sight
clack	claque
claque	clack
clause	claws
claws	clause
click	clique
clique	click
climb	clime
clime	climb
close	clothes
clothes	close
coal	cole
cole	coal
coaled	cold
cold	coaled
coarse	course
course	coarse
coat	cote
cote	coat
coax	cokes
cokes	coax
cocks	Cox
Cox	cocks
coco	cocoa
cocoa	coco
coffer	cougher
cougher	coffer
coin	quoin
quoin	coin
colonel	kernel
kernel	colonel
color	culler
culler	color
complement	compliment
compliment	complement
complementary	complimentary
complimentary	complementary
con	khan
khan	con
conch	conk
conk	conch
confidence	confidents
confidents	confidence
confirmation	conformation
conformation	confirmation
coo	coup
coup	coo
coolie	coolly
coolly	coolie
coop	coupe
coupe	coop
core	corps
corps	core
correspondence	correspondents
correspondents	correspondence
council	counsel
counsel	council
councilor	counselor
counselor	councilor
cousin	cozen
cozen	cousin
coward	cowered
cowered	coward
crape	crepe
crepe	crape
crawl	kraal
kraal	crawl
creak	creek
creek	creak
crewel	cruel
cruel	crewel
crews	cruise
crews	cruse
cruise	crews
cruise	cruse
cruse	crews
cruse	cruise
crumby	crummy
crummy	crumby
cue	q
cue	queue
q	cue
q	queue
queue	cue
queue	q
cues	q's
cues	queues
q's	cues
q's	queues
queues	cues
queues	q's
currant	current
current	currant
cygnet	signet
signet	cygnet
cymbal	symbol
symbol	cymbal
dam	damn
damn	dam
Dane	deign
deign	Dane
days	daze
daze	days
dear	deer
deer	dear
dense	dents
dents	dense
descent	dissent
dissent	descent
deuce	douce
douce	deuce
dew	do
dew	due
do	dew
do	due
due	dew
due	do
die	dye
dye	die
dine	dyne
dyne	dine
dire	dyer
dyer	dire
discreet	discrete
discrete	discreet
dissidence	dissidents
dissidents	dissidence
do	doe
do	dough
doe	do
doe	dough
dough	do
dough	doe
doc	dock
dock	doc
does	doughs
does	doze
doughs	does
doughs	doze
doze	does
doze	doughs
done	dun
dun	done
draft	draught
draught	draft
dual	duel
duel	dual
ducked	duct
duct	ducked
e's	ease
ease	e's
earn	urn
urn	earn
eave	eve
eve	eave
elicit	illicit
illicit	elicit
ell	l
l	ell
enumerable	innumerable
innumerable	enumerable
ewe	u
ewe	yew
ewe	you
u	ewe
u	yew
u	you
yew	ewe
yew	u
yew	you
you	ewe
you	u
you	yew
ewes	u's
ewes	use
ewes	yews
u's	ewes
u's	use
u's	yews
use	ewes
use	u's
use	yews
yews	ewes
yews	u's
yews	use
eyed	I'd
I'd	eyed
eyelet	islet
islet	eyelet
facts	fax
fax	facts
faery	fairy
faery	ferry
fairy	faery
fairy	ferry
ferry	faery
ferry	fairy
faille	file
faille	phial
file	faille
file	phial
phial	faille
phial	file
fain	fane
fain	feign
fane	fain
fane	feign
feign	fain
feign	fane
faint	feint
feint	faint
fair	fare
fare	fair
faker	fakir
fakir	faker
faro	Pharaoh
Pharaoh	faro
fate	fete
fete	fate
faun	fawn
fawn	faun
fawned	fond
fond	fawned
Fay's	faze
Fay's	phase
faze	Fay's
faze	phase
phase	Fay's
phase	faze
fay	fey
fey	fay
feat	feet
feet	feat
felloe	fellow
fellow	felloe
felt	veldt
veldt	felt
fennel	phenyl
phenyl	fennel
ferrule	ferule
ferule	ferrule
fiance	fiancee
fiancee	fiance
filet	fillet
fillet	filet
fill	Phil
Phil	fill
filter	philtre
philtre	filter
fin	Finn
Finn	fin
find	fined
fined	find
finish	Finnish
Finnish	finish
fir	fur
fur	fir
fisher	fissure
fissure	fisher
fizz	phiz
phiz	fizz
flair	flare
flare	flair
flea	flee
flee	flea
flew	flu
flew	flue
flu	flew
flu	flue
flue	flew
flue	flu
flier	flyer
flyer	flier
flocks	phlox
phlox	flocks
floe	flow
flow	floe
flour	flower
flower	flour
foaled	fold
fold	foaled
for	fore
for	four
fore	for
fore	four
four	for
four	fore
foreword	forward
forward	foreword
fort	forte
forte	fort
forth	fourth
fourth	forth
foul	fowl
fowl	foul
fouler	fowler
fowler	fouler
franc	frank
frank	franc
frays	phrase
phrase	frays
frees	freeze
frees	frieze
freeze	frees
freeze	frieze
frieze	frees
frieze	freeze
friar	fryer
fryer	friar
fungous	fungus
fungus	fungous
fuse	fuze
fuze	fuse
Gael	Gail
Gael	gale
Gail	Gael
Gail	gale
gale	Gael
gale	Gail
gaff	gaffe
gaffe	gaff
gage	gauge
gauge	gage
gait	gate
gate	gait
gall	Gaul
Gaul	gall
gamble	gambol
gambol	gamble
gamin	gammon
gammon	gamin
Gay's	gaze
Gay's	gays
gaze	Gay's
gaze	gays
gays	Gay's
gays	gaze
gel	jell
jell	gel
genes	Jean's
genes	jeans
Jean's	genes
Jean's	jeans
jeans	genes
jeans	Jean's
gibe	jibe
jibe	gibe
gild	guild
guild	gild
gilt	guilt
guilt	gilt
gneiss	nice
nice	gneiss
gnu	knew
gnu	new
knew	gnu
knew	new
new	gnu
new	knew
gored	gourd
gourd	gored
gorilla	guerilla
guerilla	gorilla
grade	grayed
grayed	grade
graft	graphed
graphed	graft
grate	great
great	grate
grays	graze
graze	grays
grease	Greece
Greece	grease
greaves	grieves
grieves	greaves
grill	grille
grille	grill
grip	grippe
grippe	grip
grisly	grizzly
grizzly	grisly
groan	grown
grown	groan
guessed	guest
guest	guessed
guide	guyed
guyed	guide
guise	guys
guys	guise
gym	Jim
Jim	gym
hail	hale
hale	hail
hair	hare
hare	hair
hairy	harry
harry	hairy
hall	haul
haul	hall
halve	have
have	halve
handsome	hansom
hansom	handsome
hangar	hanger
hanger	hangar
hart	heart
heart	hart
hawk	hock
hock	hawk
hay's	haze
haze	hay's
hay	hey
hey	hay
he'd	heed
heed	he'd
he'll	heal
he'll	heel
heal	he'll
heal	heel
heel	he'll
heel	heal
hear	here
here	hear
heard	herd
herd	heard
heroin	heroine
heroine	heroin
hertz	hurts
hurts	hertz
hew	hue
hew	Hugh
hue	hew
hue	Hugh
Hugh	hew
Hugh	hue
hi	hie
hi	high
hie	hi
hie	high
high	hi
high	hie
hide	hied
hide	Hyde
hied	hide
hied	Hyde
Hyde	hide
Hyde	hied
higher	hire
hire	higher
him	hymn
hymn	him
ho	hoe
hoe	ho
hoard	horde
horde	hoard
hoarse	horse
horse	hoarse
hoes	hose
hose	hoes
hole	whole
whole	hole
holey	holy
holey	wholly
holy	holey
holy	wholly
wholly	holey
wholly	holy
hoop	whoop
whoop	hoop
hostel	hostile
hostile	hostel
hour	our
our	hour
house	hows
hows	house
humerus	humorous
humorous	humerus
idle	idol
idle	idyll
idol	idle
idol	idyll
idyll	idle
idyll	idol
immanent	imminent
imminent	immanent
impassable	impassible
impassible	impassable
in	inn
inn	in
indict	indite
indite	indict
inflection	inflexion
inflexion	inflection
installation	instillation
instillation	installation
it's	its
its	it's
j	jay
jay	j
jam	jamb
jamb	jam
jewel	joule
joule	jewel
Jewry	jury
jury	Jewry
jinks	jinx
jinx	jinks
k	Kay
k	quai
Kay	k
Kay	quai
quai	k
quai	Kay
knap	nap
knap	nape
nap	knap
nap	nape
nape	knap
nape	nap
knave	nave
nave	knave
knead	kneed
knead	need
kneed	knead
kneed	need
need	knead
need	kneed
knight	night
night	knight
knit	nit
nit	knit
knock	nock
nock	knock
knot	not
not	knot
know	no
no	know
knows	no's
knows	nose
no's	knows
no's	nose
nose	knows
nose	no's
lac	lack
lack	lac
lacks	lax
lax	lacks
lade	laid
laid	lade
lain	lane
lane	lain
lam	lamb
lamb	lam
lap	Lapp
Lapp	lap
laps	lapse
lapse	laps
lay	lei
lei	lay
lea	lee
lee	lea
leach	leech
leech	leach
lead	led
led	lead
leaf	lief
lief	leaf
leak	leek
leek	leak
lean	lien
lien	lean
leased	least
least	leased
lessen	lesson
lesson	lessen
levee	levy
levy	levee
Lew's	loos
Lew's	lose
Lew's	Lou's
loos	Lew's
loos	lose
loos	Lou's
lose	Lew's
lose	loos
lose	Lou's
Lou's	Lew's
Lou's	loos
Lou's	lose
Lew	Lou
Lew	lieu
Lou	Lew
Lou	lieu
lieu	Lew
lieu	Lou
liar	lyre
lyre	liar
lichen	liken
liken	lichen
licker	liquor
liquor	licker
lie	lye
lye	lie
limb	limn
limn	limb
links	lynx
lynx	links
lo	low
low	lo
load	lode
load	lowed
lode	load
lode	lowed
lowed	load
lowed	lode
loan	lone
lone	loan
loch	lock
lock	loch
locks	lox
lox	locks
loop	loupe
loupe	loop
loot	lute
lute	loot
lumbar	lumber
lumber	lumbar
made	maid
maid	made
magnate	magnet
magnet	magnate
mail	male
male	mail
main	Maine
main	mane
Maine	main
Maine	mane
mane	main
mane	Maine
maize	May's
maize	maze
May's	maize
May's	maze
maze	maize
maze	May's
mall	maul
maul	mall
manner	manor
manor	manner
mantel	mantle
mantle	mantel
marks	Marx
Marx	marks
marry	Mary
marry	merry
Mary	marry
Mary	merry
merry	marry
merry	Mary
marshal	martial
martial	marshal
marten	martin
martin	marten
massed	mast
mast	massed
me	mi
mi	me
mead	meed
meed	mead
mean	mien
mien	mean
meat	meet
meat	mete
meet	meat
meet	mete
mete	meat
mete	meet
meatier	meteor
meteor	meatier
medal	meddle
meddle	medal
metal	mettle
mettle	metal
mews	muse
muse	mews
might	mite
mite	might
mil	mill
mill	mil
mince	mints
mints	mince
mind	mined
mined	mind
miner	minor
minor	miner
missal	missile
missile	missal
missed	mist
mist	missed
misses	Mrs.
Mrs.	misses
moan	mown
mown	moan
moat	mote
mote	moat
mode	mowed
mowed	mode
moo	moue
moue	moo
mood	mooed
mooed	mood
moose	mousse
mousse	moose
morn	mourn
mourn	morn
mot	mow
mow	mot
muscle	mussel
mussel	muscle
mussed	must
must	mussed
mustard	mustered
mustered	mustard
naval	navel
navel	naval
nay	nee
nay	neigh
nee	nay
nee	neigh
neigh	nay
neigh	nee
none	nun
nun	none
o'er	oar
o'er	or
o'er	ore
oar	o'er
oar	or
oar	ore
or	o'er
or	oar
or	ore
ore	o'er
ore	oar
ore	or
o	oh
o	owe
oh	o
oh	owe
owe	o
owe	oh
ode	owed
owed	ode
oleo	olio
olio	oleo
one	won
won	one
p's	peas
p's	pees
peas	p's
peas	pees
pees	p's
pees	peas
p	pea
p	pee
pea	p
pea	pee
pee	p
pee	pea
paced	paste
paste	paced
packed	pact
pact	packed
pail	pale
pale	pail
pain	pane
pane	pain
pair	pare
pair	pear
pare	pair
pare	pear
pear	pair
pear	pare
palate	palette
palette	palate
pall	Paul
pall	pawl
Paul	pall
Paul	pawl
pawl	pall
pawl	Paul
parish	pearish
parish	perish
pearish	parish
pearish	perish
perish	parish
perish	pearish
passed	past
past	passed
patience	patients
patients	patience
pause	paws
paws	pause
pawed	pod
pod	pawed
pawned	pond
pond	pawned
peace	piece
piece	peace
peak	peek
peak	pique
peek	peak
peek	pique
pique	peak
pique	peek
peal	peel
peel	peal
pearl	purl
purl	pearl
peat	Pete
Pete	peat
pedal	peddle
peddle	pedal
peer	pier
pier	peer
per	purr
purr	per
petrel	petrol
petrol	petrel
pew	phew
phew	pew
pi	pie
pie	pi
pic	pick
pick	pic
picks	pix
pix	picks
pidgin	pigeon
pigeon	pidgin
Pilate	pilot
pilot	Pilate
pistil	pistol
pistol	pistil
place	plaice
plaice	place
plain	plane
plane	plain
plait	plate
plate	plait
plantar	planter
planter	plantar
pleas	please
please	pleas
pleural	plural
plural	pleural
plum	plumb
plumb	plum
pole	poll
poll	pole
poled	polled
polled	poled
pommel	pummel
pummel	pommel
poor	pore
poor	pour
pore	poor
pore	pour
pour	poor
pour	pore
populace	populous
populous	populace
praise	prays
praise	preys
prays	praise
prays	preys
preys	praise
preys	prays
pray	prey
prey	pray
precisian	precision
precision	precisian
presence	presents
presents	presence
pride	pried
pried	pride
prier	prior
prior	prier
prince	prints
prints	prince
principal	principle
principle	principal
prise	prize
prize	prise
profit	prophet
prophet	profit
pros	prose
prose	pros
Psalter	salter
salter	Psalter
quarts	quartz
quartz	quarts
quean	queen
queen	quean
rabbet	rabbit
rabbit	rabbet
rack	wrack
wrack	rack
raid	rayed
rayed	raid
rain	reign
rain	rein
reign	rain
reign	rein
rein	rain
rein	reign
raise	Ray's
raise	rays
raise	raze
Ray's	raise
Ray's	rays
Ray's	raze
rays	raise
rays	Ray's
rays	raze
raze	raise
raze	Ray's
raze	rays
raiser	razer
raiser	razor
razer	raiser
razer	razor
razor	raiser
razor	razer
rap	wrap
wrap	rap
rapped	rapt
rapped	wrapped
rapt	rapped
rapt	wrapped
wrapped	rapped
wrapped	rapt
rapper	wrapper
wrapper	rapper
rapping	wrapping
wrapping	rapping
ray	re
re	ray
read	red
red	read
read	reed
reed	read
real	reel
reel	real
reek	wreak
wreak	reek
residence	residents
residents	residence
rest	wrest
wrest	rest
retch	wretch
wretch	retch
review	revue
revue	review
rex	wrecks
wrecks	rex
rheum	room
room	rheum
rheumy	roomy
roomy	rheumy
rhyme	rime
rime	rhyme
rigger	rigor
rigor	rigger
right	rite
right	wright
right	write
rite	right
rite	wright
rite	write
wright	right
wright	rite
wright	write
write	right
write	rite
write	wright
ring	wring
wring	ring
ringer	wringer
wringer	ringer
road	rode
road	rowed
rode	road
rode	rowed
rowed	road
rowed	rode
roam	Rome
Rome	roam
roe	row
row	roe
roes	rose
roes	rows
rose	roes
rose	rows
rows	roes
rows	rose
role	roll
roll	role
rood	rude
rood	rued
rude	rood
rude	rued
rued	rood
rued	rude
roomer	rumor
rumor	roomer
root	route
route	root
rot	wrought
wrought	rot
rote	wrote
wrote	rote
rough	ruff
ruff	rough
rouse	rows
rows	rouse
rout	route
route	rout
roux	rue
rue	roux
rung	wrung
wrung	rung
Russell	rustle
rustle	Russell
rye	wry
wry	rye
sac	sack
sack	sac
sachet	sashay
sashay	sachet
sacks	sax
sax	sacks
sail	sale
sale	sail
sandhi	sandy
sandy	sandhi
sane	seine
seine	sane
saver	savor
savor	saver
sawed	sod
sod	sawed
scalar	scaler
scaler	scalar
scene	seen
seen	scene
scull	skull
skull	scull
seam	seem
seem	seam
seaman	semen
semen	seaman
sear	seer
sear	sere
seer	sear
seer	sere
sere	sear
sere	seer
sects	sex
sex	sects
seek	Sikh
Sikh	seek
serf	surf
surf	serf
serge	surge
surge	serge
sew	so
sew	sow
so	sew
so	sow
sow	sew
sow	so
sewer	suer
suer	sewer
sewn	sown
sown	sewn
shear	sheer
sheer	shear
shoe	shoo
shoo	shoe
shone	shown
shown	shone
sic	sick
sick	sic
side	sighed
sighed	side
sigher	sire
sire	sigher
sighs	size
size	sighs
sign	sine
sine	sign
sink	sync
sync	sink
Sioux	sue
sue	Sioux
slay	sleigh
sleigh	slay
sleight	slight
slight	sleight
slew	slough
slew	slue
slough	slew
slough	slue
slue	slew
slue	slough
sloe	slow
slow	sloe
soar	sore
sore	soar
soared	sword
sword	soared
socks	sox
sox	socks
sol	sole
sol	soul
sole	sol
sole	soul
soul	sol
soul	sole
sold	soled
soled	sold
some	sum
sum	some
son	sun
sun	son
sonny	sunny
sunny	sonny
soot	suit
suit	soot
sot	sought
sought	sot
sough	sow
sow	sough
spade	spayed
spayed	spade
squaller	squalor
squalor	squaller
staff	staph
staph	staff
staid	stayed
stayed	staid
stair	stare
stare	stair
stake	steak
steak	stake
stalk	stock
stock	stalk
stanch	staunch
staunch	stanch
stationary	stationery
stationery	stationary
steal	steel
steel	steal
step	steppe
steppe	step
stile	style
style	stile
straight	strait
strait	straight
straighten	straiten
straiten	straighten
sty	stye
stye	sty
subtler	sutler
sutler	subtler
succor	sucker
sucker	succor
suite	sweet
sweet	suite
sundae	Sunday
Sunday	sundae
t's	teas
t's	tease
t's	tees
teas	t's
teas	tease
teas	tees
tease	t's
tease	teas
tease	tees
tees	t's
tees	teas
tees	tease
t	tea
t	tee
tea	t
tea	tee
tee	t
tee	tea
tacked	tact
tact	tacked
tacks	tax
tax	tacks
tail	tale
tale	tail
taper	tapir
tapir	taper
tare	tear
tear	tare
taught	taut
taught	tot
taut	taught
taut	tot
tot	taught
tot	taut
taupe	tope
tope	taupe
team	teem
teem	team
tear	tier
tier	tear
tense	tents
tents	tense
tern	turn
turn	tern
Thai	tie
tie	Thai
the	thee
thee	the
their	there
there	their
theirs	there's
there's	theirs
thrash	thresh
thresh	thrash
threw	through
through	threw
throe	throw
throw	throe
throes	throws
throws	throes
throne	thrown
thrown	throne
thyme	time
time	thyme
tic	tick
tick	tic
tide	tied
tied	tide
timber	timbre
timbre	timber
to	too
to	two
too	to
too	two
two	to
two	too
toad	toed
toad	towed
toed	toad
toed	towed
towed	toad
towed	toed
tocsin	toxin
toxin	tocsin
toe	tow
tow	toe
told	tolled
tolled	told
ton	tun
tun	ton
tool	tulle
tulle	tool
tooter	tutor
tutor	tooter
tracked	tract
tract	tracked
travail	travel
travel	travail
tray	trey
trey	tray
trays	treys
treys	trays
troop	troupe
troupe	troop
trussed	trust
trust	trussed
turban	turbine
turbine	turban
undo	undue
undue	undo
unreal	unreel
unreel	unreal
vail	vale
vail	veil
vale	vail
vale	veil
veil	vail
veil	vale
vain	vane
vain	vein
vane	vain
vane	vein
vein	vain
vein	vane
vary	very
very	vary
venous	Venus
Venus	venous
versed	verst
verst	versed
vial	vile
vial	viol
vile	vial
vile	viol
viol	vial
viol	vile
vice	vise
vise	vice
victual	vittle
vittle	victual
villous	villus
villus	villous
viscous	viscus
viscus	viscous
wade	weighed
weighed	wade
wail	wale
wail	whale
wale	wail
wale	whale
whale	wail
whale	wale
wailer	whaler
whaler	wailer
wain	wane
wain	Wayne
wane	wain
wane	Wayne
Wayne	wain
Wayne	wane
waist	waste
waste	waist
wait	weight
weight	wait
waive	wave
wave	waive
waiver	waver
waver	waiver
walk	wok
wok	walk
want	wont
wont	want
war	wore
wore	war
ward	warred
warred	ward
ware	wear
ware	weir
ware	where
wear	ware
wear	weir
wear	where
weir	ware
weir	wear
weir	where
where	ware
where	wear
where	weir
wares	wears
wares	where's
wears	wares
wears	where's
where's	wares
where's	wears
warn	worn
worn	warn
wary	wherry
wherry	wary
wax	whacks
whacks	wax
way	weigh
way	whey
weigh	way
weigh	whey
whey	way
whey	weigh
we'd	weed
weed	we'd
we'll	weal
we'll	wheal
we'll	wheel
weal	we'll
weal	wheal
weal	wheel
wheal	we'll
wheal	weal
wheal	wheel
wheel	we'll
wheel	weal
wheel	wheal
we're	weir
weir	we're
we've	weave
weave	we've
we	wee
wee	we
weak	week
week	weak
weald	wield
wield	weald
weaner	wiener
wiener	weaner
weather	wether
weather	whether
wether	weather
wether	whether
whether	weather
whether	wether
weld	welled
welled	weld
were	whir
whir	were
wet	whet
whet	wet
which	witch
witch	which
whicker	wicker
wicker	whicker
whig	wig
wig	whig
while	wile
wile	while
whin	win
win	whin
whined	wind
whined	wined
wind	whined
wind	wined
wined	whined
wined	wind
whinny	Winnie
Winnie	whinny
whirl	whorl
whorl	whirl
whirled	whorled
whirled	world
whorled	whirled
whorled	world
world	whirled
world	whorled
whirred	word
word	whirred
whish	wish
wish	whish
whit	wit
wit	whit
whither	wither
wither	whither
Whittier	wittier
wittier	Whittier
who's	whose
whose	who's
whoa	woe
woe	whoa
whop	wop
wop	whop
why	y
y	why
whys	wise
whys	y's
wise	whys
wise	y's
y's	whys
y's	wise
wild	wiled
wiled	wild
with	withe
withe	with
wood	would
would	wood
worst	wurst
wurst	worst
yawn	yon
yon	yawn
yoke	yolk
yolk	yoke
yore	you're
yore	your
you're	yore
you're	your
your	yore
your	you're
you'll	yule
yule	you'll
Ad	Add
Add	Ad
Aerie	Airy
Airy	Aerie
Ail	Ale
Ale	Ail
Air	Heir
Heir	Air
Aisle	Isle
Isle	Aisle
All	Awl
Awl	All
Allowed	Aloud
Aloud	Allowed
Altar	Alter
Alter	Altar
Arc	Ark
Ark	Arc
Ascent	Assent
Assent	Ascent
Ate	Eight
Eight	Ate
Attendance	Attendants
Attendants	Attendance
Aural	Oral
Oral	Aural
Axes	Axis
Axis	Axes
Aye	Eye
Eye	Aye
Bail	Bale
Bale	Bail
Baited	Bated
Bated	Baited
Bald	Bawled
Bawled	Bald
Ball	Bawl
Bawl	Ball
Band	Banned
Banned	Band
Bard	Barred
Barred	Bard
Bare	Bear
Bear	Bare
Baron	Barren
Barren	Baron
Base	Bass
Bass	Base
Based	Baste
Baste	Based
Be	Bee
Bee	Be
Beach	Beech
Beech	Beach
Beat	Beet
Beet	Beat
Beau	Bow
Bow	Beau
Beer	Bier
Bier	Beer
Bell	Belle
Belle	Bell
Berry	Bury
Bury	Berry
Berth	Birth
Birth	Berth
Billed	Build
Build	Billed
Blew	Blue
Blue	Blew
Bloc	Block
Block	Bloc
Boar	Bore
Bore	Boar
Board	Bored
Bored	Board
Boarder	Border
Border	Boarder
Bold	Bowled
Bowled	Bold
Bolder	Boulder
Boulder	Bolder
Bootie	Booty
Booty	Bootie
Born	Borne
Borne	Born
Burro	Burrow
Burrow	Burro
Bough	Bow
Bow	Bough
Braid	Brayed
Brayed	Braid
Brake	Break
Break	Brake
Bread	Bred
Bred	Bread
Brewed	Brood
Brood	Brewed
Brews	Bruise
Bruise	Brews
Bridal	Bridle
Bridle	Bridal
Broach	Brooch
Brooch	Broach
Brows	Browse
Browse	Brows
But	Butt
Butt	But
Buy	Bye
Bye	Buy
Caddie	Caddy
Caddy	Caddie
Callous	Callus
Callus	Callous
Canon	Cannon
Cannon	Canon
Canter	Cantor
Cantor	Canter
Canvas	Canvass
Canvass	Canvas
Capital	Capitol
Capitol	Capital
Carat	Carrot
Carrot	Carat
Carol	Carrel
Carrel	Carol
Cast	Caste
Caste	Cast
Cede	Seed
Seed	Cede
Ceiling	Sealing
Sealing	Ceiling
Cell	Sell
Sell	Cell
Cellar	Seller
Seller	Cellar
Censor	Sensor
Sensor	Censor
Cent	Scent
Scent	Cent
Cereal	Serial
Serial	Cereal
Cession	Session
Session	Cession
Chance	Chants
Chants	Chance
Chased	Chaste
Chaste	Chased
Cheap	Cheep
Cheep	Cheap
Chews	Choose
Choose	Chews
Chic	Sheik
Sheik	Chic
Chilli	Chilly
Chilly	Chilli
Choir	Quire
Quire	Choir
Choral	Coral
Coral	Choral
Chord	Cored
Cored	Chord
Chute	Shoot
Shoot	Chute
Cite	Sight
Sight	Cite
Clause	Claws
Claws	Clause
Close	Clothes
Clothes	Close
Coarse	Course
Course	Coarse
Colonel	Kernel
Kernel	Colonel
Complement	Compliment
Compliment	Complement
Council	Counsel
Counsel	Council
Coward	Cowered
Cowered	Coward
Creak	Creek
Creek	Creak
Crewel	Cruel
